Name,JAPAN-DS Market - DIVIDEND YIELD,JAPAN-DS Market - PRICE INDEX,JAPAN-DS Market - TOT RETURN IND,JAPAN-DS Market - MARKET VALUE,US REFINERS ACQUISITION COST OF DOM. & IMPORTED CRUDE OIL CURN,WD CRUDE OIL PRODUCTION - WORLD VOLN,JP INDUSTRIAL PRODUCTION - MINING & MANUFACTURING VOLA,NIKKEI STOCK AVERAGE VOLATILITY INDEX - PRICE INDEX,JP UNEMPLOYMENT RATE (METHO BREAK OCT 2010) SADJ,"JP MONEY SUPPLY: M2 (METHO-BREAK, APR. 2003) CURA",JP PETROLEUM: CONSUMPTION VOLN
30/09/2016,2.08,420.43,768.48,494276600,42.73,80383.54,100.7,22.14,3,943374,3713.57
31/10/2016,1.98,440.78,807,519368400,46.85,81556.524,101,19.12,3,946503.3,3768.13
30/11/2016,2,462.44,848.11,544277000,44.06,82584.419,102,19.36,3.1,950401.2,4148.2
30/12/2016,1.94,478.51,879.03,563104500,48.66,82093.51,102,21.17,3.1,954112.4,4586.71
31/01/2017,1.94,478.41,880.28,563821300,49.99,81131.688,100.9,20.75,3,957638.7,4167.39
28/02/2017,1.92,482.32,888.77,568436500,51.24,81117.723,101.6,18.67,2.9,961457.1,4554.82
31/03/2017,1.95,475.97,878.55,560395300,48.65,80337.704,101.5,18.55,2.8,964512.8,4269.9
28/04/2017,1.97,481.35,889.84,567574500,49.47,79883.533,104.1,14.81,2.8,966333.7,3831.17
31/05/2017,1.98,492.72,912.43,580279600,48.47,80477.567,102.3,13.9,3.1,968620.8,3543.74
30/06/2017,1.94,504.78,936.31,594107100,45.25,81058.662,103.3,15.75,2.8,972301.7,3513.83
31/07/2017,1.93,506.28,940.56,596292400,46.27,81579.82,102.5,13.88,2.8,975642.1,3626.39
31/08/2017,1.94,505.73,941.15,595484200,48.22,80950.739,104,15.14,2.7,978270.5,3736.68
29/09/2017,1.88,522.14,973.2,614664200,50.78,81167.607,103,15.5,2.8,981145,3668.93
31/10/2017,1.83,549.43,1025.65,647447000,52.67,81307.229,103.3,15.11,2.7,984601.7,3639.19
30/11/2017,1.85,558.98,1045.11,658742500,57.75,81984.109,104.2,17.03,2.7,988140.8,4138.37
29/12/2017,1.82,565.42,1058.72,667014100,59.53,81701.478,105.8,16.03,2.7,988614.5,4540.55
31/01/2018,1.8,572.4,1073.47,676347100,63.25,82158.068,101.4,17.97,2.4,990693,4300.52
28/02/2018,1.88,551.56,1035.89,651555800,61.74,82341.66,104,22.09,2.5,992516.2,4603.64
30/03/2018,1.94,536.71,1009.65,633355500,60.81,82191.416,105.1,22.55,2.5,994387.4,4075.13
30/04/2018,1.91,554.94,1045.55,655669500,64.41,81802.948,104.5,16.16,2.5,996885.7,3596.87
31/05/2018,2.01,546.16,1030.79,644646900,68.91,81545.705,104.8,17.09,2.3,999122.8,3430
29/06/2018,2.03,541.8,1024.22,639538200,68.35,82208.025,103.7,19.4,2.5,1002280.5,3231.2
31/07/2018,2.01,547.78,1037.29,647695100,70.29,82665.852,103.8,15.68,2.5,1004214.4,3498
31/08/2018,2.04,542.44,1029.05,641486800,67.68,83206.989,103.6,15.08,2.5,1006215.7,3592.77
28/09/2018,1.95,567.39,1078.05,670068700,69.29,83202.665,103.5,16.76,2.3,1008591.5,3489.67
31/10/2018,2.18,515.12,980.53,608620300,70.99,84331.647,105.6,26.28,2.4,1010704.3,3616.71
30/11/2018,2.21,523.06,997.52,617707800,59.01,84493.528,104.6,20.1,2.5,1010892.2,3854.8
31/12/2018,2.46,470.15,898.33,554758700,48.83,84225.94,104.7,29.32,2.4,1012490.4,4191.77
31/01/2019,2.33,492.24,942.53,591144700,52.29,82881.808,102.3,18.86,2.5,1014132.4,4053.55
28/02/2019,2.28,504.93,968.55,605187800,57.62,82596.033,103.3,16.78,2.4,1016186.6,4297.89
29/03/2019,2.31,499.71,960.31,597618900,61.64,82558.872,102.8,17.22,2.5,1018113.7,3816.94
30/04/2019,2.28,508.32,978.74,608778000,66.51,82314.469,102.7,16.76,2.4,1021726.8,3571.97
31/05/2019,2.48,477.45,921.23,571295000,65.11,81719.073,104.2,20.25,2.4,1025178.8,3306.74
28/06/2019,2.42,488.59,944.5,584908800,59.16,81879.929,101.5,16.78,2.3,1025513,3298.13
31/07/2019,2.4,493.6,956.21,590697000,60.53,81273.774,102.2,15.72,2.3,1027528.8,3391.06
30/08/2019,2.48,478.42,928.75,572249900,56.9,82404.949,100.5,18.1,2.3,1030041.6,3424.71
30/09/2019,2.37,501.33,975.11,598890800,58.6,80725.343,102.4,17.35,2.4,1032567.7,3473.37
31/10/2019,2.34,525.32,1023.88,627504900,55.85,82597.296,98.3,14.25,2.4,1034860.6,3348.9
29/11/2019,2.31,535.87,1046.39,640470800,57.88,83571.112,97.7,14.37,2.2,1037894.3,3736.53
31/12/2019,2.28,541.59,1059.6,646802900,60.27,83575.889,97.9,14.8,2.2,1039976.2,4148.48
31/01/2020,2.33,531.01,1041.01,633714700,57.94,83224.777,99.8,18.59,2.4,1042299.7,3709.35
28/02/2020,2.59,478.66,940.07,570131500,51.37,82387.17,99.5,42.81,2.4,1046395.1,3942.97
31/03/2020,2.79,444.86,875.79,529139200,32.55,82402.834,95.8,49.94,2.5,1051368.5,3425.52
30/04/2020,2.67,464.08,915.77,551721200,19.41,82829.339,86.4,31.39,2.6,1059234.1,3078.37
29/05/2020,2.47,496.02,980.89,588487400,23.84,71450.412,78.7,27.6,2.9,1077196.9,2728.1
30/06/2020,2.48,495.02,980.94,586178800,36.8,70323.206,80.2,29.12,2.8,1099866.6,2860.43
31/07/2020,2.54,476.77,946.83,567044900,40.07,71584.837,87.2,25.96,2.9,1108556.4,2981.48
31/08/2020,2.34,513.59,1021.91,609797100,42.41,72715.275,88.1,22.99,3,1118419.7,3037.23
30/09/2020,2.33,516.88,1030.48,613872400,39.83,72588.907,91.5,23.7,3,1125114.4,3059.7
